NCBI ID	NCBI Symbol	TaxID	likely
5705	PSMC5	9606	likely
5706	PSMC6	9606	likely
5715	PSMD9	9606	likely
5716	PSMD10	9606	likely
5728	PTEN	9606	less likely
5757	PTMA	9606	likely
5763	PTMS	9606	likely
5771	PTPN2	9606	likely
5784	PTPN14	9606	likely
5798	PTPRN	9606	less likely
5828	PEX2	9606	likely
5884	RAD17	9606	likely
5885	RAD21	9606	likely
5887	RAD23B	9606	likely
5894	RAF1	9606	less likely
5897	RAG2	9606	likely
5901	RAN	9606	likely
5925	RB1	9606	likely
5928	RBBP4	9606	likely
5929	RBBP5	9606	likely
5931	RBBP7	9606	likely
5932	RBBP8	9606	likely
5933	RBL1	9606	likely
5934	RBL2	9606	likely
5977	DPF2	9606	likely
5981	RFC1	9606	likely
5987	TRIM27	9606	likely
6015	RING1	9606	likely
6041	RNASEL	9606	less likely
6045	RNF2	9606	likely
6046	BRD2	9606	likely
6047	RNF4	9606	likely
6049	RNF6	9606	likely
6117	RPA1	9606	likely
6188	RPS3	9606	likely
6195	RPS6KA1	9606	likely
6197	RPS6KA3	9606	likely
6208	RPS14	9606	likely
6233	RPS27A	9606	likely
6241	RRM2	9606	likely
6271	S100A1	9606	less likely
6279	S100A8	9606	less likely
6280	S100A9	9606	less likely
6300	MAPK12	9606	less likely
6322	SCML1	9606	likely
6418	SET	9606	likely
6419	SETMAR	9606	likely
6424	SFRP4	9606	likely
6427	SRSF2	9606	likely
6433	SFSWAP	9606	likely
6446	SGK1	9606	less likely
6478	SIAH2	9606	likely
6500	SKP1	9606	likely
6595	SMARCA2	9606	likely
6596	HLTF	9606	likely
6597	SMARCA4	9606	likely
6598	SMARCB1	9606	likely
6602	SMARCD1	9606	likely
6603	SMARCD2	9606	likely
6604	SMARCD3	9606	likely
6613	SUMO2	9606	likely
6622	SNCA	9606	likely
6714	SRC	9606	less likely
6717	SRI	9606	likely
6732	SRPK1	9606	likely
6733	SRPK2	9606	likely
6737	TRIM21	9606	likely
6756	SSX1	9606	likely
6757	SSX2	9606	likely
6758	SSX5	9606	likely
6759	SSX4	9606	likely
6760	SS18	9606	likely
6788	STK3	9606	likely
6789	STK4	9606	likely
6790	AURKA	9606	likely
6794	STK11	9606	likely
6801	STRN	9606	likely
6827	SUPT4H1	9606	likely
6829	SUPT5H	9606	likely
6830	SUPT6H	9606	likely
6837	MED22	9606	likely
6839	SUV39H1	9606	likely
6847	SYCP1	9606	likely
6850	SYK	9606	less likely
6867	TACC1	9606	likely
6885	MAP3K7	9606	less likely
6894	TARBP1	9606	likely
6907	TBL1X	9606	likely
6917	TCEA1	9606	likely
6919	TCEA2	9606	likely
6921	ELOC	9606	likely
6923	ELOB	9606	likely
6944	VPS72	9606	likely
6996	TDG	9606	likely
7011	TEP1	9606	likely
7015	TERT	9606	likely
7040	TGFB1	9606	less likely
7041	TGFB1I1	9606	likely
7046	TGFBR1	9606	less likely
7048	TGFBR2	9606	less likely
7049	TGFBR3	9606	less likely
7052	TGM2	9606	less likely
7069	THRSP	9606	likely
7073	TIAL1	9606	likely
7088	TLE1	9606	likely
7089	TLE2	9606	likely
7090	TLE3	9606	likely
7091	TLE4	9606	likely
7136	TNNI2	9606	likely
7141	TNP1	9606	likely
7142	TNP2	9606	likely
7150	TOP1	9606	likely
7158	TP53BP1	9606	likely
7159	TP53BP2	9606	likely
7175	TPR	9606	likely
7189	TRAF6	9606	likely
7205	TRIP6	9606	likely
7251	TSG101	9606	likely
7258	TSPY1	9606	likely
7259	TSPYL1	9606	likely
7289	TULP3	9606	likely
7290	HIRA	9606	likely
7295	TXN	9606	less likely
7311	UBA52	9606	likely
7314	UBB	9606	likely
7316	UBC	9606	likely
7319	UBE2A	9606	likely
7320	UBE2B	9606	likely
7321	UBE2D1	9606	likely
7322	UBE2D2	9606	likely
7323	UBE2D3	9606	likely
7329	UBE2I	9606	likely
7332	UBE2L3	9606	likely
7334	UBE2N	9606	likely
7335	UBE2V1	9606	likely
7337	UBE3A	9606	likely
7341	SUMO1	9606	likely
7403	KDM6A	9606	likely
7404	UTY	9606	likely
7422	VEGFA	9606	less likely
7428	VHL	9606	likely
7430	EZR	9606	less likely
7443	VRK1	9606	likely
7466	WFS1	9606	likely
7469	NELFA	9606	likely
7508	XPC	9606	likely
7514	XPO1	9606	likely
7529	YWHAB	9606	less likely
7533	YWHAH	9606	less likely
7534	YWHAZ	9606	less likely
7536	SF1	9606	likely
7555	CNBP	9606	likely
7706	TRIM25	9606	likely
7750	ZMYM2	9606	likely
7832	BTG2	9606	likely
7862	BRPF1	9606	likely
7874	USP7	9606	likely
7913	DEK	9606	likely
7917	BAG6	9606	likely
7919	DDX39B	9606	likely
7936	NELFE	9606	likely
7984	ARHGEF5	9606	less likely
8019	BRD3	9606	likely
8028	MLLT10	9606	likely
8031	NCOA4	9606	likely
8048	CSRP3	9606	likely
8089	YEATS4	9606	likely
8125	ANP32A	9606	likely
8148	TAF15	9606	likely
8178	ELL	9606	likely
8195	MKKS	9606	likely
8204	NRIP1	9606	likely
8208	CHAF1B	9606	likely
8227	AKAP17A	9606	likely
8237	USP11	9606	likely
8239	USP9X	9606	likely
8287	USP9Y	9606	likely
8290	H3-4	9606	likely
8294	H4C9	9606	likely
8295	TRRAP	9606	likely
8301	PICALM	9606	less likely
8312	AXIN1	9606	likely
8313	AXIN2	9606	likely
8314	BAP1	9606	likely
8318	CDC45	9606	likely
8329	H2AC13	9606	likely
8330	H2AC15	9606	likely
8331	H2AC14	9606	likely
8332	H2AC16	9606	likely
8334	H2AC6	9606	likely
8335	H2AC4	9606	likely
8336	H2AC17	9606	likely
8337	H2AC18	9606	likely
8338	H2AC20	9606	likely
8340	H2BC13	9606	likely
8341	H2BC15	9606	likely
8342	H2BC14	9606	likely
8345	H2BC9	9606	likely
8346	H2BC10	9606	likely
8348	H2BC17	9606	likely
8349	H2BC21	9606	likely
8350	H3C1	9606	likely
8351	H3C4	9606	likely
8352	H3C3	9606	likely
8353	H3C6	9606	likely
8354	H3C11	9606	likely
8355	H3C8	9606	likely
8356	H3C12	9606	likely
8357	H3C10	9606	likely
8358	H3C2	9606	likely
8359	H4C1	9606	likely
8360	H4C4	9606	likely
8361	H4C6	9606	likely
8362	H4C12	9606	likely
8363	H4C11	9606	likely
8364	H4C3	9606	likely
8365	H4C8	9606	likely
8366	H4C2	9606	likely
8367	H4C5	9606	likely
8368	H4C13	9606	likely
8369	H4C7	9606	likely
8370	H4C14	9606	likely
8409	UXT	9606	likely
8433	UTF1	9606	likely
8438	RAD54L	9606	likely
8452	CUL3	9606	likely
8453	CUL2	9606	likely
8458	TTF2	9606	likely
8464	SUPT3H	9606	likely
8468	FKBP6	9606	likely
8473	OGT	9606	likely
8479	HIRIP3	9606	likely
8493	PPM1D	9606	likely
8498	RANBP3	9606	likely
8517	IKBKG	9606	likely
8518	ELP1	9606	likely
8520	HAT1	9606	likely
8535	CBX4	9606	likely
8536	CAMK1	9606	less likely
8543	LMO4	9606	likely
8544	PIR	9606	likely
8550	MAPKAPK5	9606	less likely
8554	PIAS1	9606	likely
8563	THOC5	9606	likely
8573	CASK	9606	less likely
8601	RGS20	9606	less likely
8607	RUVBL1	9606	likely
8621	CDK13	9606	likely
8631	SKAP1	9606	less likely
8638	OASL	9606	likely
8655	DYNLL1	9606	likely
8658	TNKS	9606	likely
8692	HYAL2	9606	less likely
8717	TRADD	9606	likely
8721	EDF1	9606	likely
8725	URI1	9606	likely
8726	EED	9606	likely
8804	CREG1	9606	likely
8805	TRIM24	9606	likely
8812	CCNK	9606	likely
8815	BANF1	9606	likely
8819	SAP30	9606	likely
8841	HDAC3	9606	likely
8846	ALKBH1	9606	likely
8850	KAT2B	9606	likely
8851	CDK5R1	9606	likely
8861	LDB1	9606	likely
8863	PER3	9606	likely
8864	PER2	9606	likely
8878	SQSTM1	9606	likely
8888	MCM3AP	9606	likely
8896	BUD31	9606	likely
8900	CCNA1	9606	likely
8904	CPNE1	9606	likely
8914	TIMELESS	9606	likely
8915	BCL10	9606	likely
8945	BTRC	9606	likely
8968	H3C7	9606	likely
8969	H2AC11	9606	likely
8970	H2BC11	9606	likely
8971	H1-10	9606	likely
8976	WASL	9606	likely
8986	RPS6KA4	9606	likely
8994	LIMD1	9606	likely
9014	TAF1B	9606	likely
9015	TAF1A	9606	likely
9025	RNF8	9606	likely
9031	BAZ1B	9606	likely
9039	UBA3	9606	likely
9044	BTAF1	9606	likely
9049	AIP	9606	likely
9063	PIAS2	9606	likely
9070	ASH2L	9606	likely
9077	DIRAS3	9606	less likely
9079	LDB2	9606	likely
9085	CDY1	9606	likely
9093	DNAJA3	9606	likely
9099	USP2	9606	likely
9100	USP10	9606	likely
9110	MTMR4	9606	less likely
9111	NMI	9606	likely
9113	LATS1	9606	likely
9124	PDLIM1	9606	likely
9125	CNOT9	9606	likely
9130	FAM50A	9606	likely
9139	CBFA2T2	9606	likely
9149	DYRK1B	9606	likely
9150	CTDP1	9606	likely
9188	DDX21	9606	likely
9205	ZMYM5	9606	likely
9212	AURKB	9606	likely
9232	PTTG1	9606	likely
9252	RPS6KA5	9606	likely
9271	PIWIL1	9606	likely
9274	BCL7C	9606	likely
9275	BCL7B	9606	likely
9282	MED14	9606	likely
9318	COPS2	9606	likely
9319	TRIP13	9606	likely
9320	TRIP12	9606	likely
9321	TRIP11	9606	likely
9325	TRIP4	9606	likely
9326	ZNHIT3	9606	likely
9337	CNOT8	9606	likely
9338	TCEAL1	9606	likely
9349	RPL23	9606	likely
9380	GRHPR	9606	likely
9392	TGFBRAP1	9606	less likely
9400	RECQL5	9606	likely
9403	SELENOF	9606	likely
9404	LPXN	9606	likely
9406	ZRANB2	9606	likely
9412	MED21	9606	likely
9416	DDX23	9606	likely
9425	CDYL	9606	likely
9426	CDY2A	9606	likely
9439	MED23	9606	likely
9440	MED17	9606	likely
9441	MED26	9606	likely
9442	MED27	9606	likely
9443	MED7	9606	likely
9447	AIM2	9606	likely
9457	FHL5	9606	likely
9474	ATG5	9606	likely
9477	MED20	9606	likely
9479	MAPK8IP1	9606	likely
9500	MAGED1	9606	likely
9506	PAGE4	9606	likely
9541	CIR1	9606	likely
9555	MACROH2A1	9606	likely
9557	CHD1L	9606	likely
9577	BABAM2	9606	likely
9584	RBM39	9606	likely
9604	RNF14	9606	likely
9643	MORF4L2	9606	likely
9646	CTR9	9606	likely
9656	MDC1	9606	likely
9663	LPIN2	9606	likely
9678	PHF14	9606	likely
9682	KDM4A	9606	likely
9686	VGLL4	9606	likely
9730	DCAF1	9606	likely
9733	SART3	9606	likely
9734	HDAC9	9606	likely
9736	USP34	9606	likely
9739	SETD1A	9606	likely
9759	HDAC4	9606	likely
9774	BCLAF1	9606	likely
9792	SERTAD2	9606	likely
9794	MAML1	9606	likely
9802	DAZAP2	9606	likely
9810	RNF40	9606	likely
9817	KEAP1	9606	likely
9821	RB1CC1	9606	likely
9830	TRIM14	9606	likely
9862	MED24	9606	likely
9863	MAGI2	9606	less likely
9874	TLK1	9606	likely
9891	NUAK1	9606	likely
9913	SUPT7L	9606	likely
9918	NCAPD2	9606	likely
9921	RNF10	9606	likely
9958	USP15	9606	likely
9960	USP3	9606	likely
9967	THRAP3	9606	likely
9968	MED12	9606	likely
9969	MED13	9606	likely
9978	RBX1	9606	likely
9994	CASP8AP2	9606	likely
10001	MED6	9606	likely
10011	SRA1	9606	likely
10013	HDAC6	9606	likely
10025	MED16	9606	likely
10036	CHAF1A	9606	likely
10038	PARP2	9606	likely
10075	HUWE1	9606	likely
10084	PQBP1	9606	likely
10111	RAD50	9606	likely
10114	HIPK3	9606	likely
10128	LRPPRC	9606	likely
10138	YAF2	9606	likely
10140	TOB1	9606	likely
10155	TRIM28	9606	likely
10157	AASS	9606	likely
10174	SORBS3	9606	likely
10178	TENM1	9606	less likely
10189	ALYREF	9606	likely
10197	PSME3	9606	likely
10206	TRIM13	9606	likely
10214	SSX3	9606	likely
10221	TRIB1	9606	likely
10269	ZMPSTE24	9606	likely
10273	STUB1	9606	likely
10274	STAG1	9606	likely
10284	SAP18	9606	likely
10318	TNIP1	9606	likely
10322	SMYD5	9606	likely
10336	PCGF3	9606	likely
10346	TRIM22	9606	likely
10360	NPM3	9606	likely
10361	NPM2	9606	likely
10370	CITED2	9606	likely
10384	BTN3A3	9606	likely
10389	SCML2	9606	likely
10401	PIAS3	9606	likely
10409	BASP1	9606	likely
10413	YAP1	9606	likely
10419	PRMT5	9606	likely
10428	CFDP1	9606	likely
10432	RBM14	9606	likely
10438	C1D	9606	likely
10443	N4BP2L2	9606	likely
10445	MCRS1	9606	likely
10450	PPIE	9606	likely
10454	TAB1	9606	less likely
10456	HAX1	9606	likely
10458	BAIAP2	9606	likely
10459	MAD2L2	9606	likely
10463	SLC30A9	9606	less likely
10467	ZNHIT1	9606	likely
10473	HMGN4	9606	likely
10474	TADA3	9606	likely
10475	TRIM38	9606	likely
10498	CARM1	9606	likely
10514	MYBBP1A	9606	likely
10521	DDX17	9606	likely
10527	IPO7	9606	likely
10541	ANP32B	9606	likely
10553	HTATIP2	9606	likely
10572	SIVA1	9606	likely
10579	TACC2	9606	likely
10600	USP16	9606	likely
10614	HEXIM1	9606	likely
10621	POLR3F	9606	likely
10622	POLR3G	9606	likely
10623	POLR3C	9606	likely
10626	TRIM16	9606	likely
10628	TXNIP	9606	likely
10636	RGS14	9606	less likely
10656	KHDRBS3	9606	likely
10657	KHDRBS1	9606	likely
10743	RAI1	9606	likely
10766	TOB2	9606	likely
10771	ZMYND11	9606	likely
10772	SRSF10	9606	likely
10783	NEK6	9606	likely
10808	HSPH1	9606	likely
10856	RUVBL2	9606	likely
10891	PPARGC1A	9606	likely
10892	MALT1	9606	likely
10902	BRD8	9606	likely
10919	EHMT2	9606	likely
10923	SUB1	9606	likely
10927	SPIN1	9606	likely
10930	APOBEC2	9606	likely
10933	MORF4L1	9606	likely
10943	MSL3	9606	likely
10951	CBX1	9606	likely
10957	PNRC1	9606	likely
10973	ASCC3	9606	likely
10979	FERMT2	9606	likely
10987	COPS5	9606	likely
11007	CCDC85B	9606	likely
11011	TLK2	9606	likely
11030	RBPMS	9606	likely
11035	RIPK3	9606	less likely
11036	GTF2A1L	9606	likely
11043	MID2	9606	likely
11059	WWP1	9606	likely
11060	WWP2	9606	likely
11073	TOPBP1	9606	likely
11074	TRIM31	9606	likely
11091	WDR5	9606	likely
11100	HNRNPUL1	9606	likely
11105	PRDM7	9606	likely
11113	CIT	9606	likely
11122	PTPRT	9606	less likely
11124	FAF1	9606	likely
11137	PWP1	9606	likely
11142	PKIG	9606	less likely
11146	GLMN	9606	likely
11164	NUDT5	9606	likely
11168	PSIP1	9606	likely
11171	STRAP	9606	likely
11177	BAZ1A	9606	likely
11178	LZTS1	9606	likely
11198	SUPT16H	9606	likely
11200	CHEK2	9606	likely
11213	IRAK3	9606	likely
11218	DDX20	9606	likely
11240	PADI2	9606	likely
11243	PMF1	9606	likely
11315	PARK7	9606	likely
11319	ECD	9606	likely
11329	STK38	9606	likely
11331	PHB2	9606	likely
11335	CBX3	9606	likely
11339	OIP5	9606	likely
11350	Abl1	10090	less likely
11461	Actb	10090	less likely
11472	Actn2	10090	less likely
11477	Acvr1	10090	less likely
11479	Acvr1b	10090	less likely
11482	Acvrl1	10090	less likely
11545	Parp1	10090	likely
11546	Parp2	10090	likely
11555	Adrb2	10090	less likely
11628	Aicda	10090	likely
11632	Aip	10090	likely
11651	Akt1	10090	less likely
11652	Akt2	10090	less likely
11737	Anp32a	10090	likely
11746	Anxa4	10090	likely
11770	Fabp4	10090	likely
11785	Apbb1	10090	likely
11792	Apex1	10090	likely
11793	Atg5	10090	likely
11797	Birc2	10090	likely
11798	Xiap	10090	likely
11799	Birc5	10090	likely
11810	Apobec1	10090	likely
11811	Apobec2	10090	likely
11848	Rhoa	10090	less likely
11855	Arhgap5	10090	less likely
11920	Atm	10090	likely
11991	Hnrnpd	10090	likely
12005	Axin1	10090	likely
12006	Axin2	10090	likely
12017	Bag1	10090	likely
12042	Bcl10	10090	likely
12043	Bcl2	10090	likely
12054	Bcl7b	10090	likely
12055	Bcl7c	10090	likely
12069	Bex2	10090	likely
12144	Blm	10090	likely
12151	Bmi1	10090	likely
12166	Bmpr1a	10090	less likely
12167	Bmpr1b	10090	less likely
12180	Smyd1	10090	likely
12190	Brca2	10090	likely
12217	Bsn	10090	likely
12226	Btg1	10090	likely
12227	Btg2	10090	likely
12229	Btk	10090	less likely
12231	Btn1a1	10090	less likely
12234	Btrc	10090	likely
12235	Bub1	10090	less likely
12261	C1qbp	10090	likely
12265	Ciita	10090	likely
12317	Calr	10090	likely
12322	Camk2a	10090	less likely
12326	Camk4	10090	less likely
12361	Cask	10090	less likely
12387	Ctnnb1	10090	likely
12388	Ctnnd1	10090	likely
