entity	dimer	symbol	% unmodified	% modified	regex unmodified	regex modified
TG	NFKB	RELN	8.316238842379553e-05	0.0	REELIN	
TF	AP1	FOS	0.0052417252603249	0.0003381758232467	C FOS, CELLULAR ONCOGENE FOS, CFOS, FOS	AP1
TF	AP1	FOSB	0.0005636263720779	0.0002254505488311	DELTAFOSB, FOS B, FOSB	AP1
TF	AP1	FOSL1	0.000549535712776	0.0	FOSL1, FRA, FRA1, FRALPHA	
TF	AP1	FOSL2	0.0001831785709253	0.0	FOSL2, FRA2	
TF	AP1	JUN	0.003297214276656	0.0022826868069156	ADAPTOR PROTEIN COMPLEX1, AP1,DEPC, CJUN, CJUNP, JUN ONCOGENE, JUN PROTOONCOGENE	AP1
TF	AP1	JUNB	0.0009018021953247	0.0011131620848539	JUN B, JUN FAMILY MEMBER B, JUNB	AP1
TF	AP1	JUNB;QRSL1	1.4090659301948738e-05	0.0	GATA, AP1	
TF	AP1	JUND	0.0004227197790584	0.0001268159337175	JUN D, JUND	AP1
TG	AP1	FOS	0.0030435824092209275	0.00023954120813312856	CFOS, FOS	AP1
TG	AP1	FOSB	0.00030999450464287226	0.0002254505488311798	DELTAFOSB, FOSB, FRA2	AP1
TG	AP1	FOSL1	0.00039453846045456466	0.0	FOSL1, FOSRELATED ANTIGEN 1, FRA1, FRALPHA	
TG	AP1	FOSL2	0.00023954120813312856	0.0	FOSL2, FOSRELATED ANTIGEN 2, FRA2	
TG	AP1	JUN	0.002212233510405952	0.001958601642970875	CJUN, CJUNAP1, JUN PROTOONCOGENE	AP1
TG	AP1	JUNB	0.0006199890092857445	0.0007608956023052319	JUN B, JUN B PROTOONCOGENE, JUNB	AP1
TG	AP1	JUND	0.00030999450464287226	0.00012681593371753866	JUN D, JUND	AP1
