Gene_ID	human_gene_ID	TaxID	gene_symbol	human_gene_symbol	unique_human_gene_ID	unique_human_gene_symbol	HGNC_ID	unique_HGNC_ID
100314281	406971	10116	Mir195	MIR195	406971	MIR195	HGNC:31566	HGNC:31566
100314290	None	10116	Mir26a	None	None	None	None	None
100316672	None	10090	Mir1192	None	None	None	None	None
100316676	None	10090	Mir1195	None	None	None	None	None
100316689	None	10090	Mir1931	None	None	None	None	None
100316699	None	10090	Mir1948	None	None	None	None	None
100316704	None	10090	Mir1953	None	None	None	None	None
100316736	None	10090	Mir599	None	None	None	None	None
100336	5511	10090	Ppp1r8	PPP1R8	5511	PPP1R8	HGNC:9296	HGNC:9296
100340	27293	10090	Smpdl3b	SMPDL3B	27293	SMPDL3B	HGNC:21416	HGNC:21416
100359680	54947	10116	Lpcat2	LPCAT2	54947	LPCAT2	HGNC:26032	HGNC:26032
100359714	84295	10116	Phf6	PHF6	84295	PHF6	HGNC:18145	HGNC:18145
100360427	1874	10116	E2f4	E2F4	1874	E2F4	HGNC:3118	HGNC:3118
100360606	54764	10116	Zranb1	ZRANB1	54764	ZRANB1	HGNC:18224	HGNC:18224
100360872	None	10116	Mcpt1l1	None	None	None	None	None
100360880	2354	10116	Fosb	FOSB	2354	FOSB	HGNC:3797	HGNC:3797
100360914	55294	10116	Fbxw7	FBXW7	55294	FBXW7	HGNC:16712	HGNC:16712
100360982	5971	10116	Relb	RELB	5971	RELB	HGNC:9956	HGNC:9956
100361647	11226	10116	Galnt6	GALNT6	11226	GALNT6	HGNC:4128	HGNC:4128
100361710	83852	10116	Setdb2	SETDB2	83852	SETDB2	HGNC:20263	HGNC:20263
100361818	4772	10116	Nfatc1	NFATC1	4772	NFATC1	HGNC:7775	HGNC:7775
100361909	6037;6036	10116	Ear1	RNASE3;RNASE2	None	None	HGNC:10046;HGNC:10045	None
100362634	8085	10116	Kmt2d	KMT2D	8085	KMT2D	HGNC:7133	HGNC:7133
100362725	6792	10116	Cdkl5	CDKL5	6792	CDKL5	HGNC:11411	HGNC:11411
100366024	63976	10116	Prdm16	PRDM16	63976	PRDM16	HGNC:14000	HGNC:14000
100416706	91664	10090	Zfp729b	ZNF845	91664	ZNF845	HGNC:25112	HGNC:25112
100499513	None	10090	Mir3099	None	None	None	None	None
100499514	None	10090	Mir2861	None	None	None	None	None
100502698	9711	10090	Rubcn	RUBCN	9711	RUBCN	HGNC:28991	HGNC:28991
100502723	None	10090	Tsga8	None	None	None	None	None
100503085	26249	10090	Klhl3	KLHL3	26249	KLHL3	HGNC:6354	HGNC:6354
100503659	255057	10090	Cbarp	CBARP	255057	CBARP	HGNC:28617	HGNC:28617
100503872	None	10090	Hotair	None	None	None	None	None
100503895	7177;64499	10090	Tpsab1	TPSAB1;TPSB2	7177	TPSAB1	HGNC:12019;HGNC:14120	HGNC:12019
100504267	None	10090	Trp53cor1	None	None	None	None	None
100504404	3122	10090	H2-Ea	HLA-DRA	3122	HLA-DRA	HGNC:4947	HGNC:4947
100504455	None	10090	Gm15834	None	None	None	None	None
100504608	25895	10090	Eef1akmt3	EEF1AKMT3	25895	EEF1AKMT3	HGNC:24936	HGNC:24936
100504663	22863	10090	Atg14	ATG14	22863	ATG14	HGNC:19962	HGNC:19962
100526482	None	10090	Mir466o	None	None	None	None	None
100526513	442919	10090	Mir374c	MIR374A	442919	MIR374A	HGNC:31788	HGNC:31788
100526611	406996	10116	Mir3120	MIR214	406996	MIR214	HGNC:31591	HGNC:31591
100561	121260	10090	Slc15a4	SLC15A4	121260	SLC15A4	HGNC:23090	HGNC:23090
100628571	None	10090	Mir378b	None	None	None	None	None
100628606	None	10090	Mir3960	None	None	None	None	None
100637	90634	10090	N4bp2l1	N4BP2L1	90634	N4BP2L1	HGNC:25037	HGNC:25037
100653389	None	10090	Mir155hg	None	None	None	None	None
100678	5723	10090	Psph	PSPH	5723	PSPH	HGNC:9577	HGNC:9577
100683	8295	10090	Trrap	TRRAP	8295	TRRAP	HGNC:12347	HGNC:12347
100689	10417	10090	Spon2	SPON2	10417	SPON2	HGNC:11253	HGNC:11253
100702	163351	10090	Gbp6	GBP6	163351	GBP6	HGNC:25395	HGNC:25395
100705	32	10090	Acacb	ACACB	32	ACACB	HGNC:85	HGNC:85
100710	23047	10090	Pds5b	PDS5B	23047	PDS5B	HGNC:20418	HGNC:20418
100727	None	10090	Ugt2b34	None	None	None	None	None
100763	9690	10090	Ube3c	UBE3C	9690	UBE3C	HGNC:16803	HGNC:16803
100764	84934	10090	Rita1	RITA1	84934	RITA1	HGNC:25925	HGNC:25925
100910144	8824	10116	Ces2	CES2	8824	CES2	HGNC:1864	HGNC:1864
100912292	375704	10116	Enho	ENHO	375704	ENHO	HGNC:24838	HGNC:24838
100952	11117	10090	Emilin1	EMILIN1	11117	EMILIN1	HGNC:19880	HGNC:19880
100978	152518	10090	Nfxl1	NFXL1	152518	NFXL1	HGNC:18726	HGNC:18726
101055843	None	10090	Gm12551	None	None	None	None	None
101358	144699	10090	Fbxl14	FBXL14	144699	FBXL14	HGNC:28624	HGNC:28624
101401	56999	10090	Adamts9	ADAMTS9	56999	ADAMTS9	HGNC:13202	HGNC:13202
101476	59338	10090	Plekha1	PLEKHA1	59338	PLEKHA1	HGNC:14335	HGNC:14335
101488	11309	10090	Slco2b1	SLCO2B1	11309	SLCO2B1	HGNC:10962	HGNC:10962
101490	22876	10090	Inpp5f	INPP5F	22876	INPP5F	HGNC:17054	HGNC:17054
101540	25865	10090	Prkd2	PRKD2	25865	PRKD2	HGNC:17293	HGNC:17293
101543	126374	10090	Wtip	WTIP	126374	WTIP	HGNC:20964	HGNC:20964
101565	9738	10090	Ccp110	CCP110	9738	CCP110	HGNC:24342	HGNC:24342
101602	283897	10090	AI467606	C16orf54	283897	C16orf54	HGNC:26649	HGNC:26649
101612	83743	10090	Grwd1	GRWD1	83743	GRWD1	HGNC:21270	HGNC:21270
101613	171389	10090	Nlrp6	NLRP6	171389	NLRP6	HGNC:22944	HGNC:22944
101739	11168	10090	Psip1	PSIP1	11168	PSIP1	HGNC:9527	HGNC:9527
101772	55107	10090	Ano1	ANO1	55107	ANO1	HGNC:21625	HGNC:21625
101809	399473	10090	Spred3	SPRED3	399473	SPRED3	HGNC:31041	HGNC:31041
102022	8824	10090	Ces2a	CES2	8824	CES2	HGNC:1864	HGNC:1864
102075	25894	10090	Plekhg4	PLEKHG4	25894	PLEKHG4	HGNC:24501	HGNC:24501
102103	57509	10090	Mtus1	MTUS1	57509	MTUS1	HGNC:29789	HGNC:29789
102122	80011	10090	Psme3ip1	PSME3IP1	80011	PSME3IP1	HGNC:29856	HGNC:29856
102162	27097	10090	Taf5l	TAF5L	27097	TAF5L	HGNC:17304	HGNC:17304
102193	55625	10090	Zdhhc7	ZDHHC7	55625	ZDHHC7	HGNC:18459	HGNC:18459
102247	137964	10090	Gpat4	GPAT4	137964	GPAT4	HGNC:20880	HGNC:20880
102423	25988	10090	Hinfp	HINFP	25988	HINFP	HGNC:17850	HGNC:17850
102462	55272	10090	Imp3	IMP3	55272	IMP3	HGNC:14497	HGNC:14497
102465658	None	10090	Mir7085	None	None	None	None	None
102465831	406947	10116	Mir155	MIR155	406947	MIR155	HGNC:31542	HGNC:31542
102465990	None	10090	Mir6715	None	None	None	None	None
102552838	4157	10116	Mc1r	MC1R	4157	MC1R	HGNC:6929	HGNC:6929
102554884	23186	10116	Rcor1	RCOR1	23186	RCOR1	HGNC:17441	HGNC:17441
102626	7867	10090	Mapkapk3	MAPKAPK3	7867	MAPKAPK3	HGNC:6888	HGNC:6888
102657	80381	10090	Cd276	CD276	80381	CD276	HGNC:19137	HGNC:19137
102680	54716	10090	Slc6a20a	SLC6A20	54716	SLC6A20	HGNC:30927	HGNC:30927
102774	585	10090	Bbs4	BBS4	585	BBS4	HGNC:969	HGNC:969
102857	6535	10090	Slc6a8	SLC6A8	6535	SLC6A8	HGNC:11055	HGNC:11055
102866	5358	10090	Pls3	PLS3	5358	PLS3	HGNC:9091	HGNC:9091
103012	None	10090	Firre	None	None	None	None	None
103136	11137	10090	Pwp1	PWP1	11137	PWP1	HGNC:17015	HGNC:17015
103161	319	10090	Apof	APOF	319	APOF	HGNC:615	HGNC:615
103164605	None	10090	Paupar	None	None	None	None	None
103172	400916	10090	Chchd10	CHCHD10	400916	CHCHD10	HGNC:15559	HGNC:15559
103213	10758	10090	Traf3ip2	TRAF3IP2	10758	TRAF3IP2	HGNC:1343	HGNC:1343
103466	51559	10090	Nt5dc3	NT5DC3	51559	NT5DC3	HGNC:30826	HGNC:30826
103468	57122	10090	Nup107	NUP107	57122	NUP107	HGNC:29914	HGNC:29914
103534	11282	10090	Mgat4b	MGAT4B	11282	MGAT4B	HGNC:7048	HGNC:7048
103537	54799	10090	Mbtd1	MBTD1	54799	MBTD1	HGNC:19866	HGNC:19866
103551	100170841	10090	Epop	EPOP	100170841	EPOP	HGNC:34493	HGNC:34493
103573	7514	10090	Xpo1	XPO1	7514	XPO1	HGNC:12825	HGNC:12825
103583	23291	10090	Fbxw11	FBXW11	23291	FBXW11	HGNC:13607	HGNC:13607
103655	284904	10090	Sec14l4	SEC14L4	284904	SEC14L4	HGNC:20627	HGNC:20627
103689940	None	10116	LOC103689940	None	None	None	None	None
103690123	3199	10116	Hoxa2	HOXA2	3199	HOXA2	HGNC:5103	HGNC:5103
103690132	3198	10116	Hoxa1	HOXA1	3198	HOXA1	HGNC:5099	HGNC:5099
103691034	5178	10116	Peg3	PEG3	5178	PEG3	HGNC:8826	HGNC:8826
103692131	3207	10116	Hoxa11	HOXA11	3207	HOXA11	HGNC:5101	HGNC:5101
103733	7283	10090	Tubg1	TUBG1	7283	TUBG1	HGNC:12417	HGNC:12417
103806	9794	10090	Maml1	MAML1	9794	MAML1	HGNC:13632	HGNC:13632
103844	388324	10090	Inca1	INCA1	388324	INCA1	HGNC:32224	HGNC:32224
103889	3212	10090	Hoxb2	HOXB2	3212	HOXB2	HGNC:5113	HGNC:5113
103967	26052	10090	Dnm3	DNM3	26052	DNM3	HGNC:29125	HGNC:29125
103968	5346	10090	Plin1	PLIN1	5346	PLIN1	HGNC:9076	HGNC:9076
103988	2645	10090	Gck	GCK	2645	GCK	HGNC:4195	HGNC:4195
104009	5768	10090	Qsox1	QSOX1	5768	QSOX1	HGNC:9756	HGNC:9756
104010	64405	10090	Cdh22	CDH22	64405	CDH22	HGNC:13251	HGNC:13251
104015	8867	10090	Synj1	SYNJ1	8867	SYNJ1	HGNC:11503	HGNC:11503
104027	11346	10090	Synpo	SYNPO	11346	SYNPO	HGNC:30672	HGNC:30672
104069	6620	10090	Sncb	SNCB	6620	SNCB	HGNC:11140	HGNC:11140
104079	11248	10090	Nxph3	NXPH3	11248	NXPH3	HGNC:8077	HGNC:8077
104086	1593	10090	Cyp27a1	CYP27A1	1593	CYP27A1	HGNC:2605	HGNC:2605
104099	3680	10090	Itga9	ITGA9	3680	ITGA9	HGNC:6145	HGNC:6145
104110	196883	10090	Adcy4	ADCY4	196883	ADCY4	HGNC:235	HGNC:235
104111	109	10090	Adcy3	ADCY3	109	ADCY3	HGNC:234	HGNC:234
104112	47	10090	Acly	ACLY	47	ACLY	HGNC:115	HGNC:115
104130	54539	10090	Ndufb11	NDUFB11	54539	NDUFB11	HGNC:20372	HGNC:20372
104156	2119	10090	Etv5	ETV5	2119	ETV5	HGNC:3494	HGNC:3494
104158	1066	10090	Ces1d	CES1	1066	CES1	HGNC:1863	HGNC:1863
104174	2731	10090	Gldc	GLDC	2731	GLDC	HGNC:4313	HGNC:4313
104183	27159	10090	Chil4	CHIA	27159	CHIA	HGNC:17432	HGNC:17432
104215	23433	10090	Rhoq	RHOQ	23433	RHOQ	HGNC:17736	HGNC:17736
104245	9152	10090	Slc6a5	SLC6A5	9152	SLC6A5	HGNC:11051	HGNC:11051
104263	55818	10090	Kdm3a	KDM3A	55818	KDM3A	HGNC:20815	HGNC:20815
104271	56154	10090	Tex15	TEX15	56154	TEX15	HGNC:11738	HGNC:11738
104318	1453	10090	Csnk1d	CSNK1D	1453	CSNK1D	HGNC:2452	HGNC:2452
104360	64843	10090	Isl2	ISL2	64843	ISL2	HGNC:18524	HGNC:18524
104382	343472	10090	Barhl2	BARHL2	343472	BARHL2	HGNC:954	HGNC:954
104383	283248	10090	Rcor2	RCOR2	283248	RCOR2	HGNC:27455	HGNC:27455
104384	None	10090	Rhox9	None	None	None	None	None
104394	1874	10090	E2f4	E2F4	1874	E2F4	HGNC:3118	HGNC:3118
104416	8314	10090	Bap1	BAP1	8314	BAP1	HGNC:950	HGNC:950
104443	10886	10090	Npffr2	NPFFR2	10886	NPFFR2	HGNC:4525	HGNC:4525
104444	25996	10090	Rexo2	REXO2	25996	REXO2	HGNC:17851	HGNC:17851
104445	11135	10090	Cdc42ep1	CDC42EP1	11135	CDC42EP1	HGNC:17014	HGNC:17014
104479	150275	10090	Ccdc117	CCDC117	150275	CCDC117	HGNC:26599	HGNC:26599
104601	84073	10090	Mycbpap	MYCBPAP	84073	MYCBPAP	HGNC:19677	HGNC:19677
104625	57472	10090	Cnot6	CNOT6	57472	CNOT6	HGNC:14099	HGNC:14099
104662	55720	10090	Tsr1	TSR1	55720	TSR1	HGNC:25542	HGNC:25542
104721	1653	10090	Ddx1	DDX1	1653	DDX1	HGNC:2734	HGNC:2734
104776	4329	10090	Aldh6a1	ALDH6A1	4329	ALDH6A1	HGNC:7179	HGNC:7179
104795667	None	10090	Mir935	None	None	None	None	None
104797223	574455	10116	Mir193b	MIR193B	574455	MIR193B	HGNC:32087	HGNC:32087
104797378	407025	10116	Mir29b-3	MIR29B2	407025	MIR29B2	HGNC:31620	HGNC:31620
104816	374569	10090	Aspg	ASPG	374569	ASPG	HGNC:20123	HGNC:20123
104831	25930	10090	Ptpn23	PTPN23	25930	PTPN23	HGNC:14406	HGNC:14406
104910	283600	10090	Slc25a47	SLC25A47	283600	SLC25A47	HGNC:20115	HGNC:20115
104943	642273	10090	Fam110c	FAM110C	642273	FAM110C	HGNC:33340	HGNC:33340
105005	151354	10090	Lratd1	LRATD1	151354	LRATD1	HGNC:20743	HGNC:20743
105148	3376	10090	Iars1	IARS1	3376	IARS1	HGNC:5330	HGNC:5330
105171	57561	10090	Arrdc3	ARRDC3	57561	ARRDC3	HGNC:29263	HGNC:29263
105193	378884	10090	Nhlrc1	NHLRC1	378884	NHLRC1	HGNC:21576	HGNC:21576
105243	6550	10090	Slc9a3	SLC9A3	6550	SLC9A3	HGNC:11073	HGNC:11073
105245	81567	10090	Txndc5	TXNDC5	81567	TXNDC5	HGNC:21073	HGNC:21073
105246	65980	10090	Brd9	BRD9	65980	BRD9	HGNC:25818	HGNC:25818
105278	23552	10090	Cdk20	CDK20	23552	CDK20	HGNC:21420	HGNC:21420
105348	51280	10090	Golm1	GOLM1	51280	GOLM1	HGNC:15451	HGNC:15451
105349	None	10090	Akr1c18	None	None	None	None	None
105355	10786	10090	Slc17a3	SLC17A3	10786	SLC17A3	HGNC:10931	HGNC:10931
105387	None	10090	Akr1c14	None	None	None	None	None
105418	None	10090	E330034G19Rik	None	None	None	None	None
105559	10150	10090	Mbnl2	MBNL2	10150	MBNL2	HGNC:16746	HGNC:16746
105675	10105	10090	Ppif	PPIF	10105	PPIF	HGNC:9259	HGNC:9259
105689	23077	10090	Mycbp2	MYCBP2	23077	MYCBP2	HGNC:23386	HGNC:23386
105722	196527	10090	Ano6	ANO6	196527	ANO6	HGNC:25240	HGNC:25240
105727	81539	10090	Slc38a1	SLC38A1	81539	SLC38A1	HGNC:13447	HGNC:13447
105732	286077	10090	Fam83h	FAM83H	286077	FAM83H	HGNC:24797	HGNC:24797
105782	23513	10090	Scrib	SCRIB	23513	SCRIB	HGNC:30377	HGNC:30377
105787	5562	10090	Prkaa1	PRKAA1	5562	PRKAA1	HGNC:9376	HGNC:9376
105827	347902	10090	Amigo2	AMIGO2	347902	AMIGO2	HGNC:24073	HGNC:24073
105837	27085	10090	Mtbp	MTBP	27085	MTBP	HGNC:7417	HGNC:7417
105844	29775	10090	Card10	CARD10	29775	CARD10	HGNC:16422	HGNC:16422
105988	9700	10090	Espl1	ESPL1	9700	ESPL1	HGNC:16856	HGNC:16856
106021	10210	10090	Topors	TOPORS	10210	TOPORS	HGNC:21653	HGNC:21653
106025	81858	10090	Sharpin	SHARPIN	81858	SHARPIN	HGNC:25321	HGNC:25321
106039	26088	10090	Gga1	GGA1	26088	GGA1	HGNC:17842	HGNC:17842
106042	144165	10090	Prickle1	PRICKLE1	144165	PRICKLE1	HGNC:17019	HGNC:17019
106389	55840	10090	Eaf2	EAF2	55840	EAF2	HGNC:23115	HGNC:23115
106393	6345	10090	Srl	SRL	6345	SRL	HGNC:11295	HGNC:11295
106407	200931	10090	Slc51a	SLC51A	200931	SLC51A	HGNC:29955	HGNC:29955
106504	11329	10090	Stk38	STK38	11329	STK38	HGNC:17847	HGNC:17847
106565	65989	10090	Dlk2	DLK2	65989	DLK2	HGNC:21113	HGNC:21113
106633	9742	10090	Ift140	IFT140	9742	IFT140	HGNC:29077	HGNC:29077
106722	80739	10090	Mpig6b	MPIG6B	80739	MPIG6B	HGNC:13937	HGNC:13937
106759	148022	10090	Ticam1	TICAM1	148022	TICAM1	HGNC:18348	HGNC:18348
106763	84630	10090	Ttbk1	TTBK1	84630	TTBK1	HGNC:19140	HGNC:19140
106766	55620	10090	Stap2	STAP2	55620	STAP2	HGNC:30430	HGNC:30430
106795	6941	10090	Tcf19	TCF19	6941	TCF19	HGNC:11629	HGNC:11629
106952	64411	10090	Arap3	ARAP3	64411	ARAP3	HGNC:24097	HGNC:24097
107029	4200	10090	Me2	ME2	4200	ME2	HGNC:6984	HGNC:6984
107045	51520	10090	Lars1	LARS1	51520	LARS1	HGNC:6512	HGNC:6512
107141	None	10090	Cyp2c50	None	None	None	None	None
107221	338557	10090	Ffar4	FFAR4	338557	FFAR4	HGNC:19061	HGNC:19061
107227	28992	10090	Macrod1	MACROD1	28992	MACROD1	HGNC:29598	HGNC:29598
107250	81621	10090	Kazald1	KAZALD1	81621	KAZALD1	HGNC:25460	HGNC:25460
107260	55611	10090	Otub1	OTUB1	55611	OTUB1	HGNC:23077	HGNC:23077
107271	8565	10090	Yars1	YARS1	8565	YARS1	HGNC:12840	HGNC:12840
107272	29968	10090	Psat1	PSAT1	29968	PSAT1	HGNC:19129	HGNC:19129
107321	9404	10090	Lpxn	LPXN	9404	LPXN	HGNC:14061	HGNC:14061
107351	23189	10090	Kank1	KANK1	23189	KANK1	HGNC:19309	HGNC:19309
107375	283130	10090	Slc25a45	SLC25A45	283130	SLC25A45	HGNC:27442	HGNC:27442
107392	25855	10090	Brms1	BRMS1	25855	BRMS1	HGNC:17262	HGNC:17262
107435	8520	10090	Hat1	HAT1	8520	HAT1	HGNC:4821	HGNC:4821
107449	219699	10090	Unc5b	UNC5B	219699	UNC5B	HGNC:12568	HGNC:12568
107476	31	10090	Acaca	ACACA	31	ACACA	HGNC:84	HGNC:84
107477	2979	10090	Guca1b	GUCA1B	2979	GUCA1B	HGNC:4679	HGNC:4679
107503	22809	10090	Atf5	ATF5	22809	ATF5	HGNC:790	HGNC:790
