#SentenceID	Sentence	TRI	MoR	Valid?	true_TRI	true_MoR	TRI score	MoR scores	TF	TF Id	TF Symbol	TF TaxID	TF_is_incorrect	TF_correct_mention	TF offset	TG	TG Id	TG Symbol	TG TaxID	TG_is_incorrect	TG_correct_mention	Gene offset	method	stage	renormalisation	pre-post	TF_type	Other issues	Explanation
29507419:0:EZH2:NTRK1	[TF] regulates neuroblastoma cell differentiation via [TG] promoter epigenetic modifications.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9968732573259124;0.001485131281666398;0.0016416113924211354	EZH2	2146	EZH2	9606			0	NTRK1	4914	NTRK1	9606			54	random	s1		pre	coTF		
29218083:5:MEF2D:cyclin D1	Western blot analysis was used to assess the effect of [TF] expression on the Akt/GSK pathway, as well as the protein expression of cyclin B1, [TG], matrix metalloprotein (MMP)-2, and MMP-9.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9967323287094509;0.0021124127134267237;0.001155258577122343	MEF2D	4209	MEF2D	9606			702	cyclin D1	595	CCND1	9606			791	random	s1		pre	dbTF		
27925372:10:RORalpha:MIF	Results of this study suggest that CYP19A1, [TG] and ABCA1 are the direct target genes of [TF].	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9943078909211748;0.004828766392937299;0.0008633426858878938	RORalpha	6095	RORA	9606			1399	MIF	4282	MIF	9606			1354	random	s1		pre	dbTF		
27793037:8:c-Myc:cyclinD1	Knockdown of HIF-2alpha increased levels of [TF] and its downstream target [TG] in chronic hypoxia, indicating that HIF-2alpha may function to downregulate c-Myc.	TRI	UNDEFINED	F	TRI	ACTIVATION		0.9851988375100974;0.006092655838723076;0.008708506651179398	c-Myc	4609	MYC	9606			925	cyclinD1	595	CCND1	9606			957	random	s1		pre	dbTF	mutation	
27668319:10:DNMT3B:WIF1	Finally, targeting [TF] by these miRs, decreased methylation of tumor suppressor genes such as SFRP1, SFRP2, [TG] and DKK2 in the mentioned cell lines, and returned the expression of these tumor suppressor genes which can contribute to lethal effect on colon cancer cells and reducing tumorigenicity of these cells.	TRI	REPRESSION	F	TRI	ACTIVATION		0.2863801946921778;0.05835873305475918;0.6552610722530631	DNMT3B	1789	DNMT3B	9606			1522	WIF1	11197	WIF1	9606			1614	random	s1		pre	dbTF	mutation	perturbation of TF (by targeting it with miRs) returned the expression of TG
27594918:7:MYB:BCL2	Remarkably, the expression of [TF] and of its target [TG] was, respectively, >=4.7 and >=2.8 fold higher at leukemic transformation than after chemotherapy, when the patient obtained the hematological remission.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.959440476449869;0.03693003345964773;0.003629490090483401	MYB	4602	MYB	9606			927	BCL2	596	BCL2	9606			949	random	s1		pre	dbTF		
27451412:0:Regulatory Factor X:DYX1C1	Ciliary dyslexia candidate genes [TG] and DCDC2 are regulated by [TF] (RFX) transcription factors through X-box promoter motifs.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9980500937123836;0.0011003581081566157;0.0008495481794597132	Regulatory Factor X	5989	RFX1	9606			67	DYX1C1	161582	DNAAF4	9606			33	random	s1		pre	dbTF		
27374141:8:DNMT:TMEM88	Furthermore treatment of OC cells with SGI-110 (guadecitabine), a DNA methyl transferase ([TF]) inhibitor, increased [TG] mRNA expression levels, supporting that TMEM88 is transcriptionally regulated by promoter methylation.	TRI	REPRESSION	T	TRI	REPRESSION		0.009055490683283292;0.003983725828152167;0.9869607834885645	DNMT	1786	DNMT1	9606			1104	TMEM88	92162	TMEM88	9606			1131	random	s1		pre	dbTF	mutation	perturbed TF; TF inhibitor increased TG expression
30057418:0:p65:HDAC4	A dual role of miR-22 modulated by RelA/[TF] in resensitizing fulvestrant-resistant breast cancer cells to fulvestrant by targeting FOXP1 and [TG] and constitutive acetylation of p53 at Lys382.	TRI	UNDEFINED	F	Not TRI			0.8975027776775478;0.05512897504473139;0.04736824727772084	p65	5970	RELA	9606			40	HDAC4	9759	HDAC4	9606			141	random	s1		pre	dbTF		
26511275:10:Sall1:Fat4	Furthermore, the [TF] protein binds to many stroma-related gene loci, including Decorin and [TG].	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9964883512265961;0.0022661052391000375;0.0012455435343038965	Sall1	58198	Sall1	10090			1149	Fat4	329628	Fat4	10090			1225	random	s1		pre	dbTF		
34917508:9:NFATc3:CCL2	CONCLUSION: NFATc1 and [TF] may play important roles in the occurrence of NSCLC and BM by regulating IL-11, CDH5, and [TG].	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9976537709539944;0.0011702440466803245;0.0011759849993253286	NFATc3	4775	NFATC3	9606			1470	CCL2	6347	CCL2	9606			1567	random	s1		pre	dbTF		
36231088:7:HIF1alpha:HEY1	Furthermore, RNA-seq experiments showed that CPP could induce the expression of [TG], which is not only a target gene regulated by [TF], but also a key transcription factor for VECs.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.834057061150251;0.16207249240256025;0.003870446447188775	HIF1alpha	3091	HIF1A	9606			1064	HEY1	23462	HEY1	9606			1013	random	s1		pre	dbTF		
9553202:8:MITF:c-kit	However, the mononuclear cells (MNC) of the bone marrow expressed mRNA specific for [TF], a transcription factor that regulates expression of [TG] and differentiation of MC.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9976174919142011;0.0016496245191574646;0.0007328835666414323	MITF	4286	MITF	9606			872	c-kit	3815	KIT	9606			930	random	s1		pre	dbTF		
35837779:8:Hes1:PGC1alpha	Studies have demonstrated that AMP-activated protein kinase (AMPK), MAPK, Notch, tumor necrosis factor-like weak inducer of apoptosis (TWEAK), epidermal growth factor receptor (EGFR), non-coding RNA (ncRNAs), liver kinase B1 (LKB1), hairy and enhancer of split 1 ([TF]), and other pathways regulate the expression of [TG] and affect fatty acid metabolism.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9970410078268416;0.0019415882774136814;0.00101740389574472	Hes1	3280	HES1	9606			1305	PGC1alpha	10891	PPARGC1A	9606			1358	random	s1		pre	dbTF		
9094721:0:Myf-5:MyoD	Redefining the genetic hierarchies controlling skeletal myogenesis: Pax-3 and [TF] act upstream of [TG].	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9460776122572089;0.046304808970558234;0.007617578772232905	Myf-5	17877	Myf5	10090			78	MyoD	17927	Myod1	10090			100	random	s1		pre	dbTF		
9010223:11:ETS2:Egr1	However, the proteins ETS1, [TF], PEA3 and PU.1 were unable to form ternary complexes with SRF on either the [TG] or c-fos SREs.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9957921055716186;0.0023912789745257654;0.0018166154538555646	ETS2	2114	ETS2	9606			1365	Egr1	1958	EGR1	9606			1446	random	s1		pre	dbTF	negation	
9010223:11:ETS2:c-fos	However, the proteins ETS1, [TF], PEA3 and PU.1 were unable to form ternary complexes with SRF on either the Egr1 or [TG] SREs.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9956895497952075;0.002614360610800407;0.001696089593992044	ETS2	2114	ETS2	9606			1365	c-fos	2353	FOS	9606			1454	random	s1		pre	dbTF	negation	
8972190:0:Myc:c-myc	The Myc negative autoregulation mechanism requires [TF]-Max association and involves the [TG] P2 minimal promoter.	TRI	REPRESSION	F	TRI	UNDEFINED		0.025360253012088555;0.012655331977272104;0.9619844150106394	Myc	4609	MYC	9606			51	c-myc	4609	MYC	9606			88	random	s1		pre	dbTF		
8590759:7:p53:HPRT	Possible functional significance and mechanisms of AD and [TG] regulation by [TF] as well as the role of modifications of activity of nucleotide synthesis enzymes in the cooperative effect of predominant oncogenes and mutant p53 oncogenes in tumour transformation are discussed.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.997900723863303;0.0011465254227325322;0.0009527507139644153	p53	7157	TP53	9606			1325	HPRT	24465	Hprt1	10116			1306	random	s1		pre	dbTF		
8354388:5:IUF-1:insulin	[TF] may therefore be an important determinant of [TG] gene beta cell-specific expression.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.850983221512255;0.1454118778894292;0.0036049005983157943	IUF-1	3651	PDX1	9606			630	insulin	3630	INS	9606			681	random	s1		pre	dbTF		
37326830:8:CTCF:ST6GAL1	Subsequently, [TF] was screened and verified as the transcription factor interacting with the P2 promoter of [TG], which enhances the sialylation of ACPAs, thus weakening the inflammatory activity of ACPAs.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.963759165730723;0.03167497886507645;0.004565855404200487	CTCF	13018	Ctcf	10090			1436	ST6GAL1	20440	St6gal1	10090			1531	random	s1		pre	dbTF		
37301529:0:estrogen-related receptor gamma:fibroblast growth factor 23	Chenodeoxycholic acid regulates [TG] gene expression via [TF] in human hepatoma Huh7 cells.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9971433558031035;0.001551849736463764;0.0013047944604326189	estrogen-related receptor gamma	2104	ESRRG	9606			80	fibroblast growth factor 23	8074	FGF23	9606			32	random	s1		pre	dbTF		
36942752:12:KAT7:HIF1alpha	Circ-myh8 acts as a modular scaffold to recruit histone acetyltransferase [TF] to the promoters of [TG], which elicits acetylation of lysine 5 of histone H4 in their promoters.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9750526142092643;0.021080333040971608;0.003867052749764157	KAT7	217127	Kat7	10090			1662	HIF1alpha	15251	Hif1a	10090			1687	random	s1		pre	dbTF		
36921533:12:STAT6:MUC5AC	Treatment with GSAE inhibited the production of [TG] in IL-4/IL-13-stimulated primary human nasal epithelial cells through the signal transducer and activator of transcription (STAT)3/[TF] signaling pathway.	TRI	REPRESSION	F	TRI	UNDEFINED		0.08802763558594483;0.2632907915027285;0.6486815729113266	STAT6	6778	STAT6	9606			1698	MUC5AC	4586	MUC5AC	9606			1560	random	s1		pre	dbTF		
36635484:11:HIF-1alpha:VEGF-alpha	[TG] was identified as [TF]-regulated target gene.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9979540600686497;0.001273638085898643;0.0007723018454515847	HIF-1alpha	3091	HIF1A	9606			1491	VEGF-alpha	7422	VEGFA	9606			1462	random	s1		pre	dbTF		
36619290:12:ERalpha:c-MYC	Lestaurtinib also increased [TG] expression, a target gene of [TF] signaling, measured by the quantitative PCR method.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.899788771516539;0.08935853544866401;0.010852693034797021	ERalpha	2099	ESR1	9606			1584	c-MYC	4609	MYC	9606			1549	random	s1		pre	dbTF		
9371722:10:c-ski:myogenin	Deletion analysis of the upstream region of the [TG] gene revealed that a responsive element to [TF] in myotubes is located at a distinct site upstream of the basal promoter/enhancer region.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9953720381852457;0.003940059340842972;0.000687902473911274	c-ski	20481	Ski	10090			1720	myogenin	17928	Myog	10090			1668	random	s1		pre	dbTF		
25759379:0:SRY:renin	Similarities and differences of X and Y chromosome homologous genes, [TF] and SOX3, in regulating the [TG]-angiotensin system promoters.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9980283124698167;0.0011505686565138565;0.0008211188736694358	SRY	25221	Sry	10116			69	renin	24715	Ren	10116			101	random	s1		pre	dbTF		
17339335:11:Ets1:p16	Collectively, the [TF](DeltaVII) mutants demonstrate lymphocyte maturation defects associated with misregulation of [TG](Ink4a), p27(Kip1), and CD44.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9678558142975346;0.02157585192993599;0.010568333772529402	Ets1	23871	Ets1	10090			1348	p16	12578	Cdkn2a	10090			1446	random	s1		pre	dbTF	mutation	
17148654:0:CCAAT/enhancer binding protein:CYP2A13	Transcriptional regulation of human [TG] expression in the respiratory tract by [TF] and epigenetic modulation.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9974301964223815;0.001559056939727314;0.0010107466378912356	CCAAT/enhancer binding protein	1050	CEBPA	9606			83	CYP2A13	1553	CYP2A13	9606			36	random	s1		pre	dbTF		
17140440:5:HIF-2alpha:membrane type-1 matrix metalloproteinase	We previously identified [TG] (MT1-MMP) as a transcriptional target of [TF] in RCC cells null for VHL and showed that MT1-MMP is overexpressed in these cells.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9962864807504243;0.0030212619820840646;0.000692257267491693	HIF-2alpha	2034	EPAS1	9606			718	membrane type-1 matrix metalloproteinase	4323	MMP14	9606			636	random	s1		pre	dbTF		
16840779:11:STAT4:NCAM2	Activation of [TF] and STAT5 causes the accumulation of both of these STATs to the [TG] regulatory region.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9944201312648637;0.004805640527324496;0.0007742282078117525	STAT4	6775	STAT4	9606			1145	NCAM2	4685	NCAM2	9606			1215	random	s1		pre	dbTF		
16467978:9:runx2:osteocalcin	Osteogenic differentiation appeared to be independent of MSX-2 expression; the same was true of [TF] and DLX-5, which were protagonists of osteogenic differentiation and [TG] promoter activity in bone marrow mesenchymal stem cells.	TRI	ACTIVATION	F	TRI	UNDEFINED		0.16402354986901604;0.823937620935754;0.012038829195230048	runx2	860	RUNX2	9606			1329	osteocalcin	632	BGLAP	9606			1404	random	s1		pre	dbTF		
16002402:0:MSX1:gonadotropin-releasing hormone	The Groucho-related gene family regulates the [TG] gene through interaction with the homeodomain proteins [TF] and OCT1.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9976378554469605;0.0012819842980113171;0.0010801602550283174	MSX1	4487	MSX1	9606			132	gonadotropin-releasing hormone	2796	GNRH1	9606			46	random	s1		pre	dbTF		
14600275:4:Pax5:J chain, and X box protein-1	The objective of the present investigation was to characterize the effects of TCDD on the regulation of Pax5, a crucial repressor of B-cell differentiation, and four downstream targets that are directly regulated by [TF] and involved in immunoglobulin regulation, immunoglobulin heavy chain (IgH), kappa light chain (Igkappa), [TG] (XBP-1).	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9959609613936348;0.003107188236712269;0.0009318503696529341	Pax5	18507	Pax5	10090			718	J chain, and X box protein-1	16069	Jchain	10090	NER		829	random	s1		pre	dbTF		
12957386:9:NF-kappaB:DC-SIGN	AP-1, Sp1, Ets-1, and [TF] binding sites in the [TG] promoter appear to be important for function.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.7766072974013509;0.22158642098062206;0.0018062816180269288	NF-kappaB	Complex:NFKB	NFKB	9606			1282	DC-SIGN	30835	CD209	9606			1313	random	s1	NFKB	pre	dbTF		
17363604:5:Sp3:VEGF	The mechanism of these betulinic acid-induced antiangiogenic and proapoptotic responses in both LNCaP cells and in tumors is due to activation of selective proteasome-dependent degradation of the transcription factors specificity protein 1 (Sp1), [TF], and Sp4, which regulate [TG] and survivin expression.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9961888365565944;0.0020593612636179656;0.0017518021797875924	Sp3	6670	SP3	9606			888	VEGF	7422	VEGFA	9606			917	random	s1		pre	dbTF		
11010817:0:USF-1:plasminogen activator inhibitor type 1	Growth state-dependent binding of [TF] to a proximal promoter E box element in the rat [TG] gene.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9981093082985922;0.0011615595868828088;0.000729132114524927	USF-1	83586	Usf1	10116			34	plasminogen activator inhibitor type 1	29366	Serpine2	10116			88	random	s1		pre	dbTF		
10852384:8:NF-kappaB:HLA class I antigen	In addition, the transfection of the inhibitor of [TF], IkappaBalpha, prevented the IL-10 effect on [TG] expression in the T3 cell line.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9801695249297473;0.016801540319907816;0.0030289347503448727	NF-kappaB	Complex:NFKB	NFKB	9606			1140	HLA class I antigen	100507436	MICA	9606			1195	random	s1	NFKB	pre	dbTF	mutation	
10679065:8:CREB:junB	Given the role of [TF] in regulating [TG] gene expression in mature B lymphocytes, we examined whether p38 MAPK activity was necessary for CRE-dependent junB transcription in CH31 B cells.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9695272672314701;0.029023682009409083;0.0014490507591207711	CREB	12912	Creb1	10090			1330	junB	16477	Junb	10090			1349	random	s1		pre	dbTF		
10082835:7:GR:CRH	Our studies suggest that, at the hypothalamic level, [TG] synthesis is the major target for feedback control by the [TF] and that transcriptional control of AVP and neurophysin plays only a supportive role in this process.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9664362506637294;0.007142842304125787;0.026420907032144784	GR	14815	Nr3c1	10090			1091	CRH	12918	Crh	10090			1029	random	s1		pre	dbTF		
9036948:0:c-fos:p27Kip1	Overexpression of [TF] inhibits down-regulation of a cyclin-dependent kinase-2 inhibitor [TG] in splenic B cells activated by surface Ig cross-linking.	TRI	REPRESSION	F	TRI	ACTIVATION		0.001606993176260025;0.008526377540497303;0.9898666292832428	c-fos	14281	Fos	10090			18	p27Kip1	12576	Cdkn1b	10090			90	random	s1		pre	dbTF	mutation	overexpression of TF inhibits downregulation of TG
7494244:4:YY1:c-fos	In the absence of E1A243, [TF] represses CRE-dependent transcription of [TG] by physically interacting with ATF/CREB proteins bound to the -67 CRE.	TRI	REPRESSION	T	TRI	REPRESSION		0.001332285502529353;0.002304364175340581;0.9963633503221302	YY1	22632	Yy1	10090			509	c-fos	14281	Fos	10090			554	random	s1		pre	dbTF		
37070131:8:AR:MITF	Then LYC-inhibited [TF] promotes the activation of microphthalmia-associated transcription factor ([TG]) in hypoxic HCVECs.	TRI	REPRESSION	F	Not TRI			0.011030445024250006;0.014597365451887405;0.9743721895238626	AR	367	AR	9606			880	MITF	4286	MITF	9606			958	random	s1		pre	dbTF	PPI	
35721612:4:Nrf2:Nrf2	However, the direct inhibition of Keap1-[TF] protein-protein interaction (PPI) as an approach to activate [TG] is less explored.	TRI	REPRESSION	F	Not TRI			0.043320252788732395;0.10579708420977658;0.8508826630014911	Nrf2	18024	Nfe2l2	10090			483	Nrf2	18024	Nfe2l2	10090			549	random	s1		pre	dbTF	PPI	
35695913:9:FOXP1:PEDF	After [TF] was decreased, the activation of VEGF expression and inhibition of [TG] expression in HUVECs induced by high glucose were reversed; meanwhile, cell proliferation, migration, and tube formation decreased, and apoptosis was promoted.	TRI	REPRESSION	T	TRI	REPRESSION		0.020589458496400936;0.055541779520113806;0.9238687619834852	FOXP1	27086	FOXP1	9606			1469	PEDF	5176	SERPINF1	9606			1542	random	s1		pre	dbTF	mutation	
35497876:0:FOSB:MicroRNA-22	Histone Methyltransferase SETDB1 Promotes Immune Evasion in Colorectal Cancer via [TF]-Mediated Downregulation of [TG] through BATF3/PD-L1 Pathway.	TRI	REPRESSION	T	TRI	REPRESSION		0.0013124281099534234;0.005130177621530771;0.9935573942685157	FOSB	14282	Fosb	10090			82	MicroRNA-22	387141	Mir22	10090			114	random	s1		pre	dbTF		
12715098:5:NF-kappaB:ICAM-1	The effects of [TF] inhibitor MG-132 on [TG] expression were also observed.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9925173689168761;0.004581546980686073;0.002901084102437766	NF-kappaB	Complex:NFKB	NFKB	9606			867	ICAM-1	3383	ICAM1	9606			897	random	s1	NFKB	pre	dbTF	mutation	"NF-kappaB' and similar mentions should be normalized to ""NFKB""; only normalize to NFKB1 when mention is NFKB1 or one of it's synonyms "
25759379:9:SRY:renin	Sry transcripts are found in all analyzed male rat tissues including the kidney, while Sox3 transcripts are found only in the brain and testis, suggesting that the primary tissue for [TG] production (kidney) can only be regulated by [TF] and not SOX3.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.8353233624170959;0.1594156636223132;0.005260973960590824	SRY	25221	Sry	10116			1516	renin	24715	Ren	10116			1465	random	s1		pre	dbTF		
17923257:6:ERalpha:CD16	Interaction of [TF] and the [TG] promoter was then determined by chromatin immunoprecipitation.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.997932635825724;0.0008892645730617525;0.001178099601214267	ERalpha	2099	ESR1	9606			858	CD16	2214	FCGR3A	9606			874	random	s1		pre	dbTF		
19267365:8:PURalpha:PSA	Using a 5.3-kb region of the [TG] promoter containing androgen response elements, the participation of [TF] in androgen regulated gene expression was determined.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9872902470753055;0.011702095226024521;0.0010076576986698797	PURalpha	5813	PURA	9606			1117	PSA	9520	NPEPPS	9606	normalisation	KLK3	1044	random	s1		pre	dbTF		
25400040:6:NF-kappaB:IkappaBalpha	Moreover, overexpression of p28(GANK) attenuated the capability of [TF] binding to the target gene [TG] promoter, but also weakened adriamycin-induced NF-kappaB pro-apoptotic gene Fas and FasL expression, which subsequently made p53-deficient tumor cells resistance to adriamycin.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.5812554805784644;0.4110567795471811;0.007687739874354468	NF-kappaB	Complex:NFKB	NFKB	9606			662	IkappaBalpha	4792	NFKBIA	9606			699	random	s1	NFKB	pre	dbTF	mutation	
25338572:0:TIEG1:PTEN	[Effects of [TF] on K562 cell apoptosis and expression of BCL-2/BAX, [TG]].	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9956094643580078;0.0029236724851295992;0.0014668631568626597	TIEG1	7071	KLF10	9606			12	PTEN	5728	PTEN	9606			70	random	s1		pre	dbTF		
25260534:7:AP-1:cyclin D1	[TF] transcriptional activity was analyzed with a luciferase reporter and bioluminescence imaging, as well as qRT-PCR analysis of downstream target, [TG], to determine the mechanism of action for DDX21 in breast tumorigenesis.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9881588105157907;0.010539128219054108;0.0013020612651552742	AP-1	Complex:AP1	AP1	9606			748	cyclin D1	595	CCND1	9606			897	random	s1	AP1	pre	dbTF		
